Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
3004459,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
3015200,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
3997,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
4322,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
5136,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
5519,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
6877,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
754,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
765,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
776,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
777,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
8127,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
8921,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
9730,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
9736,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KH00459,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KH02013,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KH02414,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KH10363,C61,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KH11103,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP11225,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP12085,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP12099,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP12531,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP12628,DEF,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP12641,DEA,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
KP13137,C61,DJN_DD,대전광역시,대덕구,11RC,계룡RDC
10052,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
4626,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
6764,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
758,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
929,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KH01430,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KH11283,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KH11295,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KP11702,DCA,DJN_J,대전광역시,중구,11RC,계룡RDC
KP11816,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KP12221,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KP12773,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
KP13275,DBA,DJN_J,대전광역시,중구,11RC,계룡RDC
2611,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
3945,DDC,DJN_OS,대전광역시,유성구,11RC,계룡RDC
5991,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
6626,DAA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
7063,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
7832,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
9208,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH01281,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH01461,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH02110,DDC,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH07270,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH09482,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH09608,DDB,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH09968,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH10072,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH10505,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KH10960,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP11825,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP12564,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP12765,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP12818,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP12880,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP13201,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP13288,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP13323,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
KP13665,DDA,DJN_OS,대전광역시,유성구,11RC,계룡RDC
3212,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
5842,DCA,DJN_S,대전광역시,서구,11RC,계룡RDC
