시군구코드(대표리전코드),광역도시,시군구명,현재배정RDC(수량기준),총수량,총배송횟수(DeliveryNo),고유배송지코드수(Ship-to),RDC까지거리_km(수량가중평균),"RDC까지시간_h(중앙값,RealGI~Arrival)",수량비중_%,배송횟수비중_%,배정RDC_수량점유율_%,배정RDC_배송횟수점유율_%,대표권역번호(ShipmentRoute)
CQA,강원도,삼척시,제천RDC,2453,177,8,236.5,3.69,0.119,0.1805,95.07,89.27,KRD930
ASA,서울특별시,광진구,평택RDC,2412,192,4,90.0,2.2,0.117,0.1958,98.38,93.75,KRD005
DTB,충청남도,청양군,계룡RDC,2394,127,5,110.8,4.17,0.1161,0.1295,95.7,88.98,KRDBC0
JVA,전라북도,김제시,계룡RDC,2382,129,8,122.0,2.89,0.1155,0.1316,87.49,74.42,KRDC20
GFA,경기도,수원시 영통구,평택RDC,2379,186,4,63.9,2.39,0.1154,0.1897,95.04,88.71,KRD8C1
GDA,경기도,군포시,평택RDC,2351,213,6,68.4,1.88,0.114,0.2173,99.49,97.65,KRD860
ALA,서울특별시,강남구,평택RDC,2345,211,13,81.1,2.26,0.1137,0.2152,95.69,88.15,KRD000
CSA,강원도,홍천군,제천RDC,2284,163,5,239.4,2.16,0.1108,0.1663,82.53,73.62,KRD9F0
OLA,경상북도,고령군,칠곡RDC,2229,119,5,118.5,1.59,0.1081,0.1214,79.05,76.47,KRDE20
CNA,강원도,정선군,제천RDC,2172,111,5,126.9,2.11,0.1053,0.1132,89.09,72.97,KRD9A0
IRA,전라남도,무안군,계룡RDC,2167,167,5,307.6,7.57,0.1051,0.1703,92.71,85.03,KRDD80
FBA,인천광역시,동구,평택RDC,2145,69,4,102.8,2.25,0.104,0.0704,99.11,94.2,KRD303
HJA,경기도,연천군,평택RDC,2137,93,5,167.8,4.05,0.1036,0.0949,93.68,91.4,KRD8K0
EKA,충청북도,괴산군,계룡RDC,2068,150,5,179.5,4.32,0.1003,0.153,98.07,93.33,KRDA00
DFA,충청남도,금산군,계룡RDC,1973,191,9,104.0,2.43,0.0957,0.1948,88.75,91.62,KRDB20
DRA,충청남도,예산군,평택RDC,1972,150,7,101.0,3.69,0.0956,0.153,94.37,85.33,KRDBA0
MFA,경상남도,함안군,칠곡RDC,1956,217,18,137.8,2.9,0.0949,0.2213,84.25,82.49,KRDFF0
CEA,강원도,양양군,제천RDC,1947,92,3,261.5,3.81,0.0944,0.0938,94.86,71.74,KRD960
PCA,경상북도,예천군,칠곡RDC,1943,127,4,121.6,2.7,0.0942,0.1295,96.5,95.28,KRDEF0
EMA,충청북도,영동군,계룡RDC,1920,83,2,77.0,1.9,0.0931,0.0847,97.81,91.57,KRDA30
ETA,충청북도,단양군,제천RDC,1914,91,5,101.8,1.15,0.0928,0.0928,86.57,81.32,KRDA10
FPA,경기도,부천시 소사구,평택RDC,1843,153,4,90.0,2.1,0.0894,0.1561,96.74,88.89,KRD8A0
AEA,서울특별시,마포구,평택RDC,1829,113,5,90.0,2.61,0.0887,0.1153,98.41,91.15,KRD00C
FUA,경기도,과천시,평택RDC,1817,141,2,73.4,1.86,0.0881,0.1438,95.38,86.52,KRD820
DKA,충청남도,서천군,계룡RDC,1776,182,8,126.1,3.81,0.0861,0.1856,95.83,92.31,KRDB80
IFA,전라남도,영광군,계룡RDC,1766,81,4,302.1,3.7,0.0856,0.0826,92.13,82.72,KRDDD0
PHA,경상북도,영덕군,칠곡RDC,1758,105,4,207.3,6.02,0.0853,0.1071,98.01,97.14,KRDEB0
LCA,부산광역시,서구,칠곡RDC,1748,106,2,160.0,3.16,0.0848,0.1081,99.54,97.17,KRD10A
GBA,경기도,안양시 만안구,평택RDC,1746,122,6,77.5,2.16,0.0847,0.1244,94.9,95.9,KRD8G1
ABF,충청북도,증평군,계룡RDC,1730,86,3,132.8,2.84,0.0839,0.0877,93.01,88.37,KRDA70
CTA,강원도,인제군,제천RDC,1726,127,11,259.2,5.88,0.0837,0.1295,90.15,85.83,KRD990
EFA,충청남도,태안군,평택RDC,1689,146,10,145.9,4.37,0.0819,0.1489,85.26,87.67,KRDBD0
